Name,Symbol,Industry Group,Industry
NESCO,NESCO,Commercial Services & Supplies,Diversified Commercial Services
Simplex Infra,SIMPLEXINF,Construction,Civil Construction
Riddhi Steel,,Industrial Products,Iron & Steel Products
Neogen Chemicals,NEOGEN,Chemicals & Petrochemicals,Specialty Chemicals
Yasho Industries,YASHO,Chemicals & Petrochemicals,Specialty Chemicals
Jay Ushin,,Auto Components,Auto Components & Equipments
Winsome Textile,,Textiles & Apparels,Other Textile Products
Modi Naturals,MODINATUR,Agricultural Food & other Products,Other Agricultural Products
Rajapalayam Mill,RAJPALAYAM,Textiles & Apparels,Other Textile Products
Medi Assist Ser.,MEDIASSIST,Insurance,Insurance Distributors
Sar Televenture,SARTELE,Telecom - Services,Telecom - Infrastructure
Jindal Drilling,JINDRILL,Oil,Offshore Support Solution Drilling
Atul Auto,ATULAUTO,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
Den Networks,DEN,Entertainment,TV Broadcasting & Software Production
DIC India,DICIND,Chemicals & Petrochemicals,Printing Inks
Steel Exchange,STEELXIND,Industrial Products,Iron & Steel Products
Zee Media,ZEEMEDIA,Entertainment,TV Broadcasting & Software Production
Donear Inds.,DONEAR,Textiles & Apparels,Other Textile Products
Indo Tech.Trans.,INDOTECH,Electrical Equipment,Heavy Electrical Equipment
Assoc.Alcohols,ASALCBR,Beverages,Breweries & Distilleries
Windlas Biotech,WINDLAS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Spandana Sphoort,SPANDANA,Finance,Microfinance Institutions
Vadilal Inds.,VADILALIND,Food Products,Dairy Products
SMS Pharma.,SMSPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Mold-Tek Pack.,MOLDTKPAC,Industrial Products,Packaging
